"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PRIN","2025-08-24","764","778","761","765.03","-0.20 %","6,919.00"
"PROFL","2025-08-24","502.9","502.9","487","490.77","-0.52 %","15,414.00"
"PRSF","2025-08-24","11.37","11.59","11.15","11.16","0.09 %","125,625.00"
"PRVU","2025-08-24","212.86","214.9","209","209.37","-1.64 %","195,488.00"
"PSF","2025-08-24","11.45","11.51","11.24","11.48","2.23 %","178,540.00"
"PURE","2025-08-24","950","954","900","909.8","-4.35 %","15,565.00"
"RADHI","2025-08-24","766","774","745","752.34","-1.89 %","146,502.00"
"RAWA","2025-08-24","789.8","789.8","742","745.96","-3.85 %","2,734.00"
"RBBD2088","2025-08-24","1000","1000","984.4","990","-1.00 %","115.00"
"RBCL","2025-08-24","15401","15489.5","15400","15426","-0.22 %","1,085.00"
"RBCLPO","2025-08-24","12600","12600","12600","12600","-0.47 %","20.00"
"RFPL","2025-08-24","394","394","378","379.71","-1.72 %","30,589.00"
"RHGCL","2025-08-24","300","306","298.1","299.66","-1.16 %","30,123.00"
"RHPL","2025-08-24","321","350","307","309.22","-3.80 %","118,203.00"
"RIDI","2025-08-24","251.1","255.5","250","250.4","-0.07 %","73,049.00"
"RLFL","2025-08-24","476.24","485.7","468","470.04","-1.30 %","12,403.00"
"RMF1","2025-08-24","10.84","11.35","10.84","11.31","2.26 %","1,262,151.00"
"RMF2","2025-08-24","10.11","10.39","10.11","10.24","0.39 %","81,779.00"
"RNLI","2025-08-24","469","494","469","474.59","-0.56 %","104,290.00"
"RSDC","2025-08-24","681","690","681","681.69","-0.67 %","10,964.00"
"RSY","2025-08-24","9.11","9.29","9","9.15","0.44 %","5,650.00"
"RURU","2025-08-24","726","765","726","740.32","-0.06 %","29,336.00"
"SADBL","2025-08-24","432.5","439","428.1","428.25","-1.57 %","67,018.00"
"SAGF","2025-08-24","9.1","9.41","9.1","9.22","-0.43 %","63,071.00"
"SAHAS","2025-08-24","640","645","639","639.66","-0.08 %","94,294.00"
"SALICO","2025-08-24","681","681","670","675.27","-0.70 %","5,680.00"
"SAMAJ","2025-08-24","2874","2893.9","2790","2832.2","-0.18 %","1,470.00"
"SANIMA","2025-08-24","366","370","364","365.39","-0.56 %","168,753.00"
"SANVI","2025-08-24","720.1","722","698.8","700.6","-3.98 %","30,382.00"
"SAPDBL","2025-08-24","840.1","866.7","827.3","829.53","-2.43 %","33,173.00"
"SARBTM","2025-08-24","916","931","898","903.13","-1.54 %","59,722.00"
"SBCF","2025-08-24","9.12","9.28","9.07","9.28","-0.22 %","14,500.00"
"SBI","2025-08-24","385","390","382","382.98","-0.60 %","19,702.00"
"SBID89","2025-08-24","1065","1065","1065","1065","-0.37 %","25.00"
"SBL","2025-08-24","367","367","360","361.87","-0.71 %","54,021.00"
"SCB","2025-08-24","624","627.5","623.3","625.35","-0.12 %","15,149.00"
"SEF","2025-08-24","9.6","9.6","9.06","9.18","-3.16 %","34,484.00"
"SENFLOAT","2025-08-24","161.97","162.97","160.84","161.04","-0.73 %","3,767,687,014.40"
"SENSITIVE","2025-08-24","473.36","476.84","470.72","471.19","-0.65 %","3,767,687,014.40"
"SFCL","2025-08-24","460","464.9","457","457.26","-0.60 %","13,436.00"
"SFEF","2025-08-24","9.04","9.21","9.04","9.14","0.44 %","24,100.00"
"SFMF","2025-08-24","9.75","9.75","9.48","9.5","-1.04 %","112,340.00"
"SGHC","2025-08-24","377","380.5","373","374.33","-2.08 %","14,312.00"
"SGIC","2025-08-24","560.9","572","560.9","562.47","-0.05 %","9,167.00"
"SHEL","2025-08-24","307","310.9","302","302.92","-1.43 %","221,286.00"
"SHINE","2025-08-24","426","430","419","419.99","-1.35 %","24,997.00"
"SHIVM","2025-08-24","626","629","615","616.57","-1.03 %","194,309.00"
"SHL","2025-08-24","569","572","550","558.48","-0.91 %","45,670.00"
"SHLB","2025-08-24","1922","1979","1911","1931.53","-0.95 %","1,106.00"
"SHPC","2025-08-24","562","562","552","553.44","-0.72 %","73,643.00"
"SICL","2025-08-24","740","745","732","732.45","-0.80 %","9,106.00"
"SIFC","2025-08-24","511","515","506.5","509.24","0.18 %","8,291.00"
"SIGS2","2025-08-24","9.34","9.34","9","9.16","-3.88 %","129,300.00"
"SIGS3","2025-08-24","9.42","9.42","9.1","9.28","-0.43 %","60,800.00"
"SIKLES","2025-08-24","908","924","890","898.63","-1.12 %","3,591.00"
"SINDU","2025-08-24","757.7","760","745","747.97","-0.96 %","12,035.00"
"SJCL","2025-08-24","311","311","300.2","301.8","-1.04 %","7,554.00"
"SJLIC","2025-08-24","431.2","436","431.2","434.59","0.14 %","18,322.00"
"SKBBL","2025-08-24","885","902.7","882","885.81","0.83 %","38,917.00"
"SLBBL","2025-08-24","966","969.5","953.1","964.98","1.26 %","5,593.00"
"SLBSL","2025-08-24","1541.7","1599","1516","1547.29","-1.64 %","21,856.00"
"SLCF","2025-08-24","9.42","9.5","9.07","9.34","-2.61 %","91,693.00"
"SMATA","2025-08-24","939","939","892","894.66","-3.15 %","12,498.00"
"SMB","2025-08-24","2260","2305","2250","2259.16","-1.34 %","1,330.00"
"SMFBS","2025-08-24","1790.69","1805","1777","1779.08","-0.65 %","1,634.00"
"SMH","2025-08-24","882.5","909.9","882.5","894.8","-0.46 %","2,964.00"
"SMHL","2025-08-24","910","934","910","914.79","-0.81 %","12,911.00"
"SMJC","2025-08-24","575.9","580","568.6","570.54","-1.74 %","23,520.00"
"SMPDA","2025-08-24","916","925","911.1","912.99","-0.58 %","5,796.00"
"SMPDAP","2025-08-24","518","518","518","518","0.00 %","10,000.00"
"SNLI","2025-08-24","460","478","460","471.95","0.67 %","43,487.00"
"SONA","2025-08-24","446.7","463","446.7","456.44","0.15 %","31,132.00"
"SPC","2025-08-24","530","540","524.1","527.44","-0.61 %","15,769.00"
"SPDL","2025-08-24","397","401","391.5","392.98","-1.15 %","53,699.00"
"SPHL","2025-08-24","571.1","591","570","571.24","-0.31 %","8,540.00"
"SPIL","2025-08-24","812.7","829.6","811","816.1","-0.97 %","7,667.00"
"SPL","2025-08-24","930.5","944","914.2","927.93","-0.28 %","1,230.00"
"SRLI","2025-08-24","402.1","403.9","401","401.39","-0.27 %","18,159.00"
"SRLIP","2025-08-24","200","200","200","200","0.00 %","8,625.00"
"SSHL","2025-08-24","194","194","189.8","190.2","-1.33 %","64,634.00"
"STC","2025-08-24","5101","5200","5101","5198.42","0.55 %","1,718.00"
"SWBBL","2025-08-24","891","894","865","876.61","-0.09 %","14,322.00"
"SWMF","2025-08-24","736","740","736","736.01","-0.69 %","915.00"
"TAMOR","2025-08-24","509","511","505.2","507.12","-0.50 %","9,503.00"
"TPC","2025-08-24","373","373","362.5","363.68","-0.89 %","6,583.00"
"TRADING","2025-08-24","4097.02","4161.4","4081.74","4088.96","-0.20 %","11,689,014.10"
"TRH","2025-08-24","960","972.4","955","966.98","1.06 %","6,044.00"
"TSHL","2025-08-24","825.1","830","808.1","811.83","-3.17 %","4,536.00"
"TTL","2025-08-24","870.5","885","860","861.5","-1.47 %","41,048.00"
"TVCL","2025-08-24","477","479.5","473.1","475","-0.60 %","3,464.00"
"UAIL","2025-08-24","539.96","541.5","532","532.47","-1.39 %","3,363.00"
"UHEWA","2025-08-24","599","603.9","592.1","593.38","-0.57 %","9,834.00"
"ULBSL","2025-08-24","3560","3615","3560","3578.18","0.11 %","1,568.00"
"ULHC","2025-08-24","491","492.1","482.6","484.25","-1.42 %","19,132.00"
"UMHL","2025-08-24","570","579.4","570","573.4","-0.19 %","101,202.00"
"UMRH","2025-08-24","622.2","628.9","605.5","606.85","-2.47 %","25,719.00"
"UNHPL","2025-08-24","393.8","393.8","378.5","381.02","-1.57 %","72,110.00"
"UNLB","2025-08-24","2170","2175.2","2160","2160.1","-0.71 %","1,443.00"
"UPCL","2025-08-24","381.4","396.7","381.4","382.97","-1.59 %","104,029.00"
"UPPER","2025-08-24","194","195.3","193","193.12","-0.70 %","136,217.00"
"USHEC","2025-08-24","468","478","456.4","457.75","-2.41 %","35,923.00"
"USHL","2025-08-24","726.2","734","712","728.68","2.35 %","7,389.00"
"USLB","2025-08-24","2141","2179.9","2110","2110.4","-2.56 %","8,995.00"
"VLBS","2025-08-24","842","842","820","820.64","-0.66 %","2,524.00"
"VLUCL","2025-08-24","596.2","608","595","597.24","-1.07 %","5,212.00"
"WNLB","2025-08-24","2200","2219.8","2169","2178.16","-0.10 %","570.00"
